count_head,blink,aware,shouting,silent
139,39,49,33,14
249,38,49,52,13
96,0,1,4,7
169,3,2,12,1
37,17,4,15,14
114,9,10,6,5
55,2,5,12,2
49,5,7,9,4
175,9,5,5,7
11,10,9,16,14
37,10,2,2,8
43,5,10,14,8
51,11,8,6,9
36,0,4,6,2
84,17,4,6,13
86,6,11,10,11
56,11,5,8,6
115,4,10,23,1
112,15,3,3,7
118,3,4,6,14
103,12,1,4,1
151,2,6,10,1
130,0,1,16,6
10,11,0,11,6
64,0,0,3,1
153,7,0,1,4
150,0,5,5,6
46,12,2,12,0
38,1,2,17,8
125,17,20,19,4
40,11,13,26,17
89,6,8,5,10
6,10,1,9,3
126,10,1,20,8
97,6,3,7,4
98,2,5,20,11
120,6,3,24,14
86,6,5,32,12
113,3,6,22,11
142,10,13,2,2
94,5,6,22,3
29,16,4,2,14
49,11,4,6,1
158,6,7,7,5
116,9,10,16,19
158,2,4,2,17
12,3,3,35,10
17,8,10,2,8
141,8,2,13,12
109,7,7,11,14
32,5,5,6,8
45,2,2,25,12
99,7,2,18,3
118,5,1,12,9
30,0,0,2,7
113,9,6,22,8
12,3,3,11,7
104,2,3,9,6
95,4,3,11,0
24,0,0,0,0
158,5,10,10,4
195,8,6,8,4
199,3,3,35,5
213,2,27,8,3
71,9,18,0,3
81,3,8,29,22
95,4,3,11,0
24,0,0,0,0
158,5,10,10,4
195,8,6,8,4
199,3,3,35,5
213,2,27,8,3
71,9,18,0,3
81,3,8,29,22
